year,GDP,Pop
2017,433123906.6,17910
2018,457489274.7,18055
2019,482243933.1,18197
2020,507191163.8,18336
2021,532183277.9,18472
2022,557093007.4,18605
2023,581818868.8,18734
2024,606298879.7,18859
2025,630504357.4,18980
2026,654435100.9,19099
2027,678110765.7,19214
2028,701559225.7,19327
2029,724816238.9,19435
2030,747923988.6,19538
2031,770928878.6,19638
2032,793879790.6,19731
2033,816823611.3,19820
2034,839806564,19903
2035,862870339.5,19983
2036,886049881.1,20059
2037,909375170.5,20131
2038,932865120.6,20199
2039,956523449.9,20263
2040,980341788.3,20322
2041,1004308061,20378
2042,1028412733,20431
2043,1052638806,20479
2044,1076959404,20523
2045,1101337868,20562
2046,1125734717,20598
2047,1150114767,20630
2048,1174440897,20657
2049,1198676569,20682
2050,1222783525,20702
