year,indicator,01_AUS,02_BD,03_CDA,04_CHL,05_PRC,06_HKC,07_INA,08_JPN,09_ROK,10_MAS,11_MEX,12_NZ,13_PNG,14_PE,15_RP,16_RUS,17_SIN,18_CT,19_THA,20_USA,21_VN
1980,GDP,347420465,17855416.5,675111423.8,75244937.47,614872138.2,85158629.57,246867131.8,2467546820,247866534.1,83600259.2,821671040.2,65153923.54,7395396.377,125218997,157688155.3,1879583249,43565294.25,161122166.6,126156763.8,6997861906,40940307.81
1981,GDP,358188872.2,14325028.48,697284324.1,78802559.99,647379391.4,92654618.39,266902407.1,2571706518,263187634.9,89402664.07,893927626.3,68226825.63,7375055.881,134182912.2,163175594.7,1919053855,46898899.77,171450361.3,133677480.2,7173945105,43313748.3
1982,GDP,368749588,14898711.42,675883914.3,70661594.54,705677085.1,95317441.49,269765376.1,2660617879,282663778.7,94713748.03,888367120.6,68458559.81,7401073.362,133351254.4,169168010.9,1974523588,49221692.82,178250178.1,140922645.7,7031989622,46843380.25
1983,GDP,360991764.8,14977504.86,694219533.7,67980358.79,782448850.3,100678413.4,292463797.5,2742933694,313559608.9,100633836.4,851116919.8,70033553.51,7639610.086,117593545.6,172415678.1,2037704922,54074169.26,192676295,148898834.5,7352585554,50166230.09
1984,GDP,379601300.4,15069294.08,735383383.7,73394748.44,902916289.1,110864548.7,313326796.6,2865668388,340063508.6,108445228.3,881982276.2,73535242.96,7612497.168,123686682.6,159842794.9,2066230752,59172627.84,210789244.5,157578836.5,7889088776,55573161.67
1985,GDP,399582173.1,14844798.61,772485749.3,78613636.43,1026672990,111838877.3,324093032.7,3045585738,364941897.9,107228123.8,905173492.7,74223543.4,7917000.494,127129577.4,148196078.9,2088957820,60069938.06,219083036,165016084.7,8220310084,57828270.9
1986,GDP,417731196.4,14440411.93,793596222.6,83006565.66,1118457432,124301087,343272457,3127382353,405487944.7,108463461.6,871739305.7,76428511.74,8288536.638,139822567.6,153273534.6,2176693970,62218589.1,242713232.5,174259678.2,8506837494,59369591.9
1987,GDP,429187886.3,14728066.79,828151422.9,88473324.85,1249061845,141264792.5,361291604.1,3252503389,452009348.1,114307424.8,888612058,75873104.47,8518157.155,150989035.7,159879566.4,2204991485,69256065.72,268880953.1,190962300.5,8784795509,61305757.69
1988,GDP,453331010.4,14886686.19,870763088.4,94934831.27,1391097256,154468980.6,384047185.5,3481900817,501244250.4,125665828.7,900215807.1,77556853.13,8765962.81,137836385.7,170661859,2238062365,76532623.49,283951551.7,216460949.9,9152991387,64257183.83
1989,GDP,470383417.4,14723780.99,890380142.2,104953435.5,1449164633,158505430.4,418680446.3,3665877717,535756377.9,137047678.1,937987309.5,78247073.15,8641509.191,121694729.9,181235665.1,2301884485,83719015.91,312728951.8,242983591.6,9483806486,68814062.05
