year,indicator,01_AUS,02_BD,03_CDA,04_CHL,05_PRC,06_HKC,07_INA,08_JPN,09_ROK,10_MAS,11_MEX,12_NZ,13_PNG,14_PE,15_RP,16_RUS,17_SIN,18_CT,19_THA,20_USA,21_VN
1980,POP,14709.91795,189.2999994,24516.27693,11178.81699,983170.6473,5053.553994,150820.0437,115914.6875,37459.53029,13832.58601,68776.41098,3147.183006,3215.339016,17286.83222,47063.92374,138655.3636,2414.562999,17866.008,47482.64345,229825.0045,54023.15223
1981,POP,14901.60989,195.3939996,24769.84912,11348.44199,996667.5659,5151.919976,154275.4295,116823.958,38054.6035,14178.73903,70318.38611,3165.40699,3304.032988,17720.01695,48399.11388,139619.4911,2463.26901,18193.955,48460.28889,232035.0854,55109.17636
1982,POP,15109.659,201.3010008,25016.04703,11527.27403,1010574.802,5228.669972,157758.4406,117711.1456,38674.21645,14542.15595,71788.76566,3189.132998,3395.632986,18152.3439,49767.25917,140598.3348,2520.493017,18515.754,49422.51917,234261.2394,56317.46103
1983,POP,15332.78995,207.122001,25266.95015,11714.44195,1025090.473,5291.060001,161245.6824,118554.1899,39303.57883,14925.54502,73223.33606,3216.317997,3489.226992,18585.14802,51166.96303,141593.8737,2583.219,18790.538,50379.78783,236510.688,57616.92577
1984,POP,15567.92694,213.0020008,25538.86011,11908.18892,1040397.96,5350.313004,164706.9182,119320.9002,39920.98084,15331.93704,74673.29568,3243.586008,3583.521024,19020.61578,52596.29103,142609.8012,2646.958994,19069.194,51346.20399,238794.2754,58959.04494
1985,POP,15812.08797,219.0499986,25842.58786,12107.22507,1056579.216,5414.629952,168119.2101,119990.5473,40509.93211,15762.8561,76175.15401,3268.708998,3677.658003,19460.11105,54052.84914,143642.1072,2708.63799,19313.825,52328.6628,241119.7531,60307.30534
1986,POP,16066.49597,225.2880006,26183.1059,12310.6659,1073792.045,5486.800966,171472.347,120553.2598,41066.82439,16220.16888,77741.11031,3290.651018,3771.385016,19903.83303,55537.10961,144695.5486,2766.83003,19509.082,53339.76184,243495.8025,61647.64197
1987,POP,16330.36903,231.7000003,26554.54008,12518.92993,1091904.959,5564.427021,174767.378,121023.5787,41594.33107,16701.74514,79358.77985,3310.921989,3865.230022,20350.45681,57046.52881,145748.9481,2823.011985,19725.01,54368.58301,245920.9934,62986.9146
1988,POP,16596.09589,238.3049998,26943.39792,12733.40897,1110339.208,5644.479988,178006.7997,121434.6771,42089.8742,17200.06698,81010.09311,3332.798016,3960.086998,20797.9829,58572.07114,146740.9285,2880.470018,19954.397,55370.52589,248381.5769,64333.35674
1989,POP,16853.69,245.1119995,27330.29813,12956.08796,1128297.567,5721.987026,181197.8798,121832.9248,42552.03946,17704.83901,82666.45633,3360.829058,4057.227974,21243.70007,60102.13934,147591.4637,2943.94101,20156.587,56284.97296,250857.7527,65702.50003
1990,POP,17042,258,27692,13242,1172446,5782,181437,124516,42923,18038,85358,3399,4313,21827,61948,147564,3013,20311,56583,252530,68210
1991,POP,17272,266,28045,13457,1189184,5854,184616,124940,43378,18530,87071,3446,4423,22283,63508,148035,3097,20518,57258,254975,69670
1992,POP,17486,274,28385,13671,1204004,5920,187766,125341,43853,19013,88828,3504,4535,22737,65075,148318,3189,20717,57838,257455,71130
1993,POP,17688,281,28711,13883,1217129,5984,190880,125717,44341,19495,90601,3565,4651,23184,66650,148431,3288,20903,58365,260020,72561
1994,POP,17883,290,29027,14091,1228992,6055,193945,126063,44826,19987,92349,3623,4771,23619,68236,148412,3385,21074,58901,262741,73925
1995,POP,18077,297,29330,14297,1239940,6140,196958,126376,45298,20496,94045,3675,4894,24039,69836,148289,3479,21229,59491,265659,75199
1996,POP,18272,304,29622,14498,1249981,6242,199914,126654,45757,21023,95687,3717,5022,24441,71446,148074,3566,21364,60152,268803,76373
1997,POP,18468,312,29903,14695,1259067,6357,202827,126902,46202,21566,97282,3752,5155,24828,73065,147769,3650,21484,60863,272137,77454
1998,POP,18665,319,30178,14887,1267442,6473,205715,127128,46627,22114,98822,3784,5291,25200,74694,147381,3732,21596,61598,275543,78453
1999,POP,18864,326,30454,15077,1275407,6579,208612,127336,47023,22656,100300,3819,5431,25561,76335,146920,3819,21711,62307,278862,79391
2000,POP,19066,333,30736,15263,1283199,6663,211540,127534,47387,23186,101720,3859,5572,25915,77991,146396,3914,21840,62958,281982,80285
2001,POP,19269,340,31025,15445,1290938,6722,214506,127723,47713,23699,103067,3908,5717,26262,79666,145815,4019,21985,63543,284852,81140
2002,POP,19475,347,31321,15623,1298647,6759,217508,127902,48004,24199,104356,3964,5862,26601,81352,145195,4131,22143,64073,287507,81956
