year,indicator,01_AUS,02_BD,03_CDA,04_CHL,05_PRC,06_HKC,07_INA,08_JPN,09_ROK,10_MAS,11_MEX,12_NZ,13_PNG,14_PE,15_RP,16_RUS,17_SIN,18_CT,19_THA,20_USA,21_VN
1980,ITM,6271000,,13306000,809000,43111000,1990000,2837000,79007000,6100000,1751000,10316000,612000,,615000,953000,,1793000,6294000,1974000,114015000,
1981,ITM,6683000,,14118000,724000,39422000,2050000,3013000,71136000,7480000,1738000,11309000,732000,,764000,957000,,2114000,5570000,1839000,128523000,
1982,ITM,5850000,,9418000,334000,41152000,2154000,2846000,69504000,7630000,2379000,8182000,794000,,451000,1442000,,2561000,5080000,2430000,83934000,
1983,ITM,4811000,,10771000,462000,50389000,1903000,2676000,65614000,8620000,2673000,6235000,751000,,339000,1557000,,2775000,5770000,2901000,94011000,
1984,ITM,6054000,,13089000,628000,56067000,2485000,1810000,74367000,10120000,2408000,7261000,794000,,471000,912000,,2282000,6090000,2417000,111152000,
1985,ITM,5740000,,13185000,570000,71528000,2873000,2181000,73377000,10910000,2305000,7564000,680000,,533000,1001000,,1914000,6320000,2907000,105095000,
1986,ITM,5925000,,12539000,632000,75716000,2388000,2838000,69941000,11600000,2146000,6694000,607000,,550000,1237000,,1937000,7840000,2135000,94872000,
1987,ITM,5441000,,13395000,818000,69723000,1737000,2576000,75751000,15048000,1668000,6429000,864000,,581000,1624000,,2216000,9401000,3109000,100518000,306000
1988,ITM,6419000,,15244000,1026000,69177000,2861000,2690000,86871000,15825000,1847000,6871000,671000,,567000,2112000,,2545000,11630000,4094000,110295000,126000
1989,ITM,6831000,,13985000,1008000,70318000,1897000,3085000,93278000,18267000,2377000,7285000,686000,,452000,2435000,,3021000,14100000,5083000,101986000,194000
1990,ITM,5511000,,11222000,930000,68634000,2026000,4690000,99032000,21478000,2938000,8257000,680000,,425000,2316000,,3453000,15350000,6783000,103052000,215000
1991,ITM,5294000,,10688000,1131000,70863000,2301000,4479000,99151000,26068000,4137000,9072000,538000,,552000,2076000,,3631000,18920000,7114000,89599000,263000
1992,ITM,5120000,,11160000,1440000,85856000,2233000,4452000,84040000,23238000,4532000,9431000,619000,,508000,2666000,59057000,3399000,21300000,8568000,97372000,485000
1993,ITM,5757000,,12714000,1607000,129420000,4091000,5833000,80589000,26710000,5592000,8745000,726000,,634000,3069000,39747000,4156000,25110000,8055000,104356000,899000
1994,ITM,6326000,,15324000,1549000,118515000,4474000,5281000,79333000,32188000,5302000,11101000,844000,,815000,3114000,21037000,4089000,22980000,11375000,117471000,552000
1995,ITM,6256000,,15047000,1683000,99944000,3404000,7262000,84340000,37306000,8313000,8423000,908000,,1152000,4686000,21894000,4993000,24090000,11958000,112583000,752000
1996,ITM,6400000,,15300000,2159000,111934000,4563000,7675000,84400000,39400000,8705000,11924000,916000,,856000,4992000,19600000,4872000,21610000,9684000,119867000,1703000
